"id","UTMX","UTMY","PM10","ENS","Q0","Q1","QM","Q3","Q4","P40","P50"
3628,734818,5216558,2.90548167098851,4.88,0.129999021292669,0.997438267608197,2.90548167098851,8.46350497529357,64.9375945796155,0.0186642238601592,0.0119312809632057
3629,738818,5216558,3.88304187205578,4.83,0.177280239636869,1.34232211193967,3.88304187205578,11.2327838795343,85.0518603259079,0.0159863668607435,0.00938785108575033
3630,742818,5216558,2.45327023278599,4.82,0.11245992630522,0.849253143502788,2.45327023278599,7.08685611718796,53.51715080036,0.0211650107019983,0.014169693439521
4009,722818,5212558,2.7774065923629,5.12,0.113108666730534,0.923090206157016,2.7774065923629,8.3566994079761,68.1997905401747,0.0196793388956563,0.0127815456041935
4010,726818,5212558,3.71736403935832,4.99,0.159214701290206,1.25711043318616,3.71736403935832,10.9925071308894,86.7934637262324,0.0163239682896616,0.00971860795468822
4011,730818,5212558,4.39474032016401,4.84,0.199830131622986,1.51709243009646,4.39474032016401,12.7307618827465,96.6508019827261,0.015994518765629,0.00910715813547968
4012,734818,5212558,3.93913819186698,4.75,0.185825843768243,1.37714069860102,3.93913819186698,11.2674105923875,83.5018928474618,0.0170551206272185,0.0100966286463875
4013,738818,5212558,2.22867847312955,4.69,0.107788597003389,0.785865485196264,2.22867847312955,6.32042993382079,46.0810129705547,0.0233862511816315,0.0160961632258548
4385,690818,5208558,4.62156458788321,5.62,0.156795231406402,1.44244600968576,4.62156458788321,14.8073890437184,136.22135729763,0.0130051468252438,0.00702029193428619
4387,698818,5208558,3.08888923547639,5.39,0.11374038761524,0.991638116365813,3.08888923547639,9.62169217941012,83.8860927863011,0.0170438737421018,0.0106208247664815
4392,718818,5208558,2.88863140142382,5.09,0.119001031920629,0.963869476848109,2.88863140142382,8.65697231182957,70.1186471967499,0.0207228723718587,0.0134774004265458
4393,722818,5208558,4.33580375725485,5.02,0.183533593488568,1.46033381680764,4.33580375725485,12.8732170720536,102.429173123536,0.0162335894169441,0.00930173069204385
4394,726818,5208558,4.85370674536797,4.89,0.216298244750677,1.66395575107211,4.85370674536797,14.1581103673289,108.916598917323,0.015559460393045,0.00857205276431689
4395,730818,5208558,3.02513768574245,4.73,0.143893645502937,1.06061612019654,3.02513768574245,8.6284357209311,63.5987641129877,0.0208435905763854,0.0134610331402981
4396,734818,5208558,2.81829769928454,4.63,0.139788709284296,1.002442127966,2.81829769928454,7.92345183847053,56.8200533681074,0.0215845346719514,0.0141838733605763
4764,670818,5204558,2.32530625805282,5.1,0.0954263029976766,0.774874428581214,2.32530625805282,6.97796829305604,56.6620420563844,0.0263709172014408,0.0183558720217615
4765,674818,5204558,3.77054208888337,5.26,0.145645711370894,1.23056992995308,3.77054208888337,11.5531732882365,97.6134999803509,0.0200032881949781,0.0122968708868551
4766,678818,5204558,4.90230860914352,5.42,0.178561769532692,1.56792632546629,4.90230860914352,15.3276523959986,134.590006372459,0.0176825979018093,0.00996070626364155
4767,682818,5204558,3.86848738442455,5.53,0.135464867686572,1.22062060424747,3.86848738442455,12.2603162615612,110.47288421731,0.0198105672157282,0.0120907592945335
4768,686818,5204558,4.67575887572534,5.62,0.158633874087149,1.45936070010263,4.67575887572534,14.9810263236407,137.818742621853,0.0178869938518363,0.0102316052832945
4769,690818,5204558,3.94082674074335,5.53,0.137998013166563,1.24344578113088,3.94082674074335,12.4895798725005,112.538688378166,0.0209969302520791,0.0128940514443597
4770,694818,5204558,4.70650222548343,5.43,0.170811484280888,1.50343035589915,4.70650222548343,14.733747467293,129.681931468111,0.0161564344788482,0.00904616219532754
4771,698818,5204558,4.42236620765532,5.32,0.167068297726338,1.43230249120461,4.42236620765532,13.6544640498135,117.061843214845,0.0165443822380709,0.00946431305674742
4772,702818,5204558,3.38772527613361,5.19,0.134340178231785,1.11566839881226,3.38772527613361,10.2868222840879,85.4300083386308,0.0194339938340719,0.0121520941045201
4773,706818,5204558,2.58089670438799,5.04,0.108400695833349,0.866938771432014,2.58089670438799,7.68338897534606,61.4482014853592,0.0229967343945599,0.0154671258287961
4774,710818,5204558,2.95642452160506,4.95,0.128636916850125,1.00522367537863,2.95642452160506,8.69502595892952,67.9466374503615,0.0198307581171834,0.0127583959999498
4775,714818,5204558,3.44369377167646,4.99,0.147493403763343,1.1645626640914,3.44369377167646,10.1832448856119,80.403777324926,0.0187856697442056,0.0116426977947046
4776,718818,5204558,3.88003582823468,4.98,0.16683660170257,1.31389811829347,3.88003582823468,11.4580254121516,90.2360625591244,0.0171527974896619,0.0102004846562903
4777,722818,5204558,4.98569228772855,4.92,0.219532483652983,1.70216674470575,4.98569228772855,14.603227131084,113.22756056096,0.015161288514918,0.00824362051148168
4778,726818,5204558,2.97478900519138,4.8,0.137482644614204,1.03268040319073,2.97478900519138,8.56932076765001,64.3671763097087,0.0207520860630674,0.0134317900161025
4779,730818,5204558,2.82182005373556,4.63,0.139963419494106,1.00369499649449,2.82182005373556,7.93335469786603,56.8910679979456,0.0219714373432422,0.0144744346335727
4780,734818,5204558,3.2558187705262,4.51,0.170019118843462,1.17875853497391,3.2558187705262,8.99281366963366,62.3480226142718,0.0190832011748406,0.011989137434999
4781,738818,5204558,2.25641160736742,4.41,0.123123768466594,0.82937530881649,2.25641160736742,6.13882917388485,41.3518316184728,0.0211210597711194,0.0143068726019742
5147,666818,5200558,2.4588793977829,4.71,0.117934396591393,0.864552805872299,2.4588793977829,6.99331244057548,51.2665351889579,0.0248322281892945,0.0170082143399103
5148,670818,5200558,3.87169348253396,4.97,0.167135045945416,1.31285185072172,3.87169348253396,11.4178994487881,89.6880144909373,0.0199372568454213,0.0121794547928923
5149,674818,5200558,3.73437355226033,5.14,0.150923077024955,1.23788534670472,3.73437355226033,11.2656199259041,92.4016797346075,0.0223869303609685,0.014059801021264
5150,678818,5200558,4.62444915433664,5.31,0.175348018297107,1.49965440098132,4.62444915433664,14.2603055524332,121.960488568565,0.020585441732726,0.0121301941882746
5151,682818,5200558,5.07512189482313,5.42,0.184856323496952,1.62319793760062,5.07512189482313,15.8679737391648,139.334493730412,0.0189403373714295,0.01070875266815
5152,686818,5200558,5.67326173378002,5.52,0.199369605248795,1.79226620927548,5.67326173378002,17.9582132014773,161.438342919963,0.0173332987633507,0.0092974508883751
5153,690818,5200558,3.68252957586718,5.44,0.133167698201171,1.17487679306766,3.68252957586718,11.5425073992039,101.83418546929,0.0221874252580617,0.0139525315882167
