"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","08-Jan-2022",4.45,734.818,5216.558,1.6,262.0,34.9,962.9,0.06,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","08-Jan-2022",4.42,738.818,5216.558,1.9,260.8,27.7,877.1,0.06,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","08-Jan-2022",4.43,742.818,5216.558,1.7,260.4,23.8,839.6,0.06,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","08-Jan-2022",5.26,722.818,5212.558,1.2,263.7,25.2,1150.8,0.04,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","08-Jan-2022",5.06,726.818,5212.558,1.2,263.4,31.5,1103.5,0.04,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","08-Jan-2022",4.60,730.818,5212.558,1.4,263.0,37.2,1038.6,0.04,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","08-Jan-2022",4.46,734.818,5212.558,1.6,262.1,35.1,962.7,0.05,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","08-Jan-2022",4.40,738.818,5212.558,1.8,261.1,30.8,884.8,0.05,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","08-Jan-2022",4.99,690.818,5208.558,1.7,265.3,21.7,1016.3,0.03,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","08-Jan-2022",4.13,698.818,5208.558,2.0,263.6,20.3,942.4,0.03,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
"4392","08-Jan-2022",5.28,718.818,5208.558,1.3,263.4,17.0,1180.0,0.04,1225.2,2523.0,4.582e-01,3.602e-03,2.839e+03,0.000e+00,4.644e-03,0.000e+00,4.712e-02,7.870e-01
"4393","08-Jan-2022",5.73,722.818,5208.558,1.2,263.7,22.5,1155.5,0.04,3802.7,1615.0,9.763e-01,9.433e-03,9.136e+03,0.000e+00,1.520e-02,0.000e+00,1.012e-01,8.549e-01
"4394","08-Jan-2022",5.46,726.818,5208.558,1.2,263.6,27.8,1097.0,0.04,3432.0,1296.0,7.418e-01,6.082e-03,1.050e+04,0.000e+00,1.553e-02,0.000e+00,9.594e-02,8.550e-01
"4395","08-Jan-2022",4.75,730.818,5208.558,1.3,263.2,33.0,1017.9,0.04,2123.9,2383.0,4.757e-01,3.503e-03,9.564e+03,0.000e+00,1.094e-02,0.000e+00,7.065e-02,8.964e-01
"4396","08-Jan-2022",4.48,734.818,5208.558,1.5,262.5,34.0,950.9,0.04,475.9,2499.0,1.095e-01,4.186e-04,4.960e+03,0.000e+00,0.000e+00,0.000e+00,3.888e-02,9.230e-01
"4764","08-Jan-2022",4.72,670.818,5204.558,1.3,263.2,31.8,1286.8,0.08,16.6,3104.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.694e-01
"4765","08-Jan-2022",5.20,674.818,5204.558,1.1,264.3,27.0,1294.1,0.06,202.5,2130.0,6.465e-02,4.550e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.138e-02,7.813e-01
"4766","08-Jan-2022",5.72,678.818,5204.558,1.1,265.4,24.8,1290.2,0.04,440.4,1605.0,7.626e-02,4.591e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.304e-02,7.663e-01
"4767","08-Jan-2022",6.15,682.818,5204.558,1.4,266.0,21.6,1191.2,0.03,1699.5,2136.0,6.861e-01,3.989e-03,4.720e+03,7.328e+03,4.077e-03,3.348e-03,5.258e-02,6.885e-01
"4768","08-Jan-2022",6.43,686.818,5204.558,1.7,266.3,18.9,1088.3,0.03,1489.0,1729.0,1.117e+00,3.832e-03,1.067e+04,1.933e+04,4.272e-03,1.116e-02,4.405e-02,7.922e-01
"4769","08-Jan-2022",5.37,690.818,5204.558,1.8,265.7,21.3,973.5,0.03,685.8,2111.0,9.224e-01,2.039e-03,1.003e+04,1.770e+04,0.000e+00,1.653e-02,6.742e-02,8.870e-01
"4770","08-Jan-2022",4.48,694.818,5204.558,2.0,265.0,22.6,893.2,0.03,602.1,1557.0,1.102e-01,8.781e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.844e-02,8.602e-01
"4771","08-Jan-2022",4.25,698.818,5204.558,2.0,264.3,20.5,943.1,0.03,367.5,1646.0,6.979e-02,5.129e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.362e-02,9.198e-01
"4772","08-Jan-2022",4.10,702.818,5204.558,2.1,263.6,18.3,999.0,0.03,144.6,2204.0,4.357e-02,3.748e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.003e-02,9.522e-01
"4773","08-Jan-2022",4.19,706.818,5204.558,2.0,263.1,16.0,1065.2,0.03,3.1,2763.0,2.096e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.728e-03,8.939e-01
"4774","08-Jan-2022",4.45,710.818,5204.558,1.8,262.9,14.6,1128.7,0.03,87.1,2412.0,1.053e-02,1.165e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.154e-02,8.808e-01
"4775","08-Jan-2022",4.97,714.818,5204.558,1.6,263.1,14.6,1185.9,0.03,694.7,2121.0,1.156e-01,9.742e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.190e-02,9.363e-01
"4776","08-Jan-2022",5.55,718.818,5204.558,1.4,263.4,16.4,1196.8,0.03,2210.6,1852.0,6.009e-01,5.573e-03,5.069e+03,0.000e+00,8.163e-03,0.000e+00,8.246e-02,8.890e-01
"4777","08-Jan-2022",6.18,722.818,5204.558,1.3,263.8,20.0,1161.1,0.03,5217.3,1239.0,1.264e+00,1.172e-02,1.147e+04,0.000e+00,1.650e-02,0.000e+00,1.299e-01,8.173e-01
"4778","08-Jan-2022",5.88,726.818,5204.558,1.3,263.7,24.2,1091.5,0.03,6084.8,2440.0,1.509e+00,1.427e-02,1.338e+04,0.000e+00,2.062e-02,6.183e-04,1.345e-01,8.036e-01
"4779","08-Jan-2022",4.91,730.818,5204.558,1.3,263.4,28.8,998.2,0.03,496.8,2525.0,4.379e-02,3.185e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.987e-02,9.289e-01
"4780","08-Jan-2022",4.50,734.818,5204.558,1.4,262.8,32.6,937.8,0.03,364.0,2132.0,3.789e-02,2.595e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.549e-02,9.476e-01
"4781","08-Jan-2022",4.35,738.818,5204.558,1.6,262.3,36.3,893.9,0.03,43.7,2810.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.413e-03,7.345e-01
