"id","UTMX","UTMY","PM10","ENS","Q0","Q1","QM","Q3","Q4","P40","P50"
32726,390818,4912558,9.08852788835385,11.48,0.0760406145102254,1.75215936770473,9.08852788835385,47.142594846033,1086.27921682929,0.0542591859071273,0.032405692689243
32727,394818,4912558,8.97341363804338,11.22,0.07852528184277,1.75690495491656,8.97341363804338,45.8318203805436,1025.42965055065,0.0551173075872936,0.0332091540295769
32728,398818,4912558,8.65934626116517,11.16,0.0765774705236487,1.70155638574973,8.65934626116517,44.0680534002499,979.195018560955,0.0551126073549584,0.0336184796004253
32729,402818,4912558,9.92105615401492,11.23,0.0866665314008288,1.94127708611229,9.92105615401492,50.7023731518067,1135.70202499388,0.0644841290583506,0.0391050911776072
32730,406818,4912558,10.3074511602684,11.4,0.087429066621988,1.99654818738147,10.3074511602684,53.2136164269897,1215.19711380059,0.0709265741046806,0.0435729427818814
32731,410818,4912558,9.86014874710487,11.75,0.0788220609240465,1.87134513844668,9.86014874710487,51.9532882083599,1233.44317790317,0.070687287971002,0.0440935665705876
32732,414818,4912558,9.61001841472138,12.2,0.0713671045879039,1.7782206490397,9.61001841472138,51.9353174653311,1294.04792956862,0.0692296917847149,0.043321583653419
32733,418818,4912558,11.1759164774636,12.77,0.0758907471978236,2.00525092561372,11.1759164774636,62.2870222952344,1645.80154660571,0.0799358976407359,0.0493219834390539
32734,422818,4912558,10.157783428176,13.42,0.062581307795036,1.76254996148261,10.157783428176,58.540504625999,1648.7441347768,0.0716346399086093,0.0443755847073014
32735,426818,4912558,9.73822165800834,14.09,0.0545325099962889,1.6351250307715,9.73822165800834,57.9973759044943,1739.01698394143,0.0684289305666893,0.0424851529312322
32736,430818,4912558,8.50890757059276,14.78,0.0433864425368032,1.38337648530387,8.50890757059276,52.3368069459322,1668.75880601354,0.0615573112167477,0.038855963114546
32737,434818,4912558,10.7886240685033,15.5,0.0501139692566572,1.6986328963786,10.7886240685033,68.5224038340696,2322.59409936936,0.0720363212939921,0.0436748135671196
32738,438818,4912558,10.5124589979617,16.24,0.0445655536156582,1.60389690517498,10.5124589979617,68.9020558785665,2479.75813644997,0.0696845044304721,0.0422663360099279
32739,442818,4912558,12.2755782099052,16.92,0.0480199270502295,1.82179080823899,12.2755782099052,82.7152160972656,3138.06849872714,0.0829643856244014,0.0497677158272388
32740,446818,4912558,11.2409489747529,17.57,0.0408408859881497,1.6263618634985,11.2409489747529,77.694230717625,3093.93223961063,0.0713247058609504,0.0423796199214541
32741,450818,4912558,11.3484089706451,18.12,0.0388141636465871,1.60812636744412,11.3484089706451,80.0847425751156,3318.02553669973,0.0746869993767139,0.0448372956459397
32742,454818,4912558,10.5426628613544,18.61,0.0342210363683663,1.46730164565297,10.5426628613544,75.7497550264919,3247.93612360978,0.0674070086165119,0.0404378705580564
32743,458818,4912558,13.7653040848873,18.52,0.0451081627783725,1.92209549216162,13.7653040848873,98.5817808335414,4200.64983538333,0.10671496073967,0.0662321284838366
32744,462818,4912558,13.1921353768827,18.11,0.0451689756076127,1.87008780450694,13.1921353768827,93.0611040736058,3852.91969678121,0.0955660706543547,0.0581834670839461
32745,466818,4912558,14.7145897593031,17.43,0.0543062713987886,2.140453482675,14.7145897593031,101.155738042013,3987.00087867597,0.120688339674962,0.0759336753237441
